name,district,division,latitude,longitude,email,phone
"Ramna Police Station","Dhaka","Dhaka",23.8103,90.4125,noorlabib@iut-dhaka.edu,01886709707
"Motijheel Police Station","Dhaka","Dhaka",23.8592,90.4302,noorlabib@iut-dhaka.edu,01886709707
"Gulshan Police Station","Dhaka","Dhaka",23.7621,90.3951,noorlabib@iut-dhaka.edu,01886709707
"Dhanmondi Police Station","Dhaka","Dhaka",23.8205,90.3751,noorlabib@iut-dhaka.edu,01886709707
"Mirpur Police Station","Dhaka","Dhaka",23.7838,90.4785,noorlabib@iut-dhaka.edu,01886709707
"Pallabi Police Station","Dhaka","Dhaka",23.8849,90.3689,noorlabib@iut-dhaka.edu,01886709707
"Uttara Police Station","Dhaka","Dhaka",23.8832,90.3384,noorlabib@iut-dhaka.edu,01886709707
"Cantonment Police Station","Dhaka","Dhaka",23.8174,90.3455,noorlabib@iut-dhaka.edu,01886709707
"Tejgaon Police Station","Dhaka","Dhaka",23.7572,90.3925,noorlabib@iut-dhaka.edu,01886709707
"Badda Police Station","Dhaka","Dhaka",23.7940,90.4533,noorlabib@iut-dhaka.edu,01886709707
"Khilgaon Police Station","Dhaka","Dhaka",23.8743,90.4767,noorlabib@iut-dhaka.edu,01886709707
"Shahbagh Police Station","Dhaka","Dhaka",23.8829,90.3940,noorlabib@iut-dhaka.edu,01886709707
"Lalbagh Police Station","Dhaka","Dhaka",23.7414,90.4113,noorlabib@iut-dhaka.edu,01886709707
"Kotwali Police Station","Dhaka","Dhaka",23.7787,90.3753,noorlabib@iut-dhaka.edu,01886709707
"Sutrapur Police Station","Dhaka","Dhaka",23.8566,90.4517,noorlabib@iut-dhaka.edu,01886709707
"Demra Police Station","Dhaka","Dhaka",23.7900,90.4294,noorlabib@iut-dhaka.edu,01886709707
"Jatrabari Police Station","Dhaka","Dhaka",23.8671,90.3685,noorlabib@iut-dhaka.edu,01886709707
"Kadamtali Police Station","Dhaka","Dhaka",23.7672,90.3769,noorlabib@iut-dhaka.edu,01886709707
"Shyampur Police Station","Dhaka","Dhaka",23.7865,90.3375,noorlabib@iut-dhaka.edu,01886709707
"Sabujbagh Police Station","Dhaka","Dhaka",23.8573,90.3929,noorlabib@iut-dhaka.edu,01886709707
"Mohammadpur Police Station","Dhaka","Dhaka",23.8357,90.4023,noorlabib@iut-dhaka.edu,01886709707
"Adabor Police Station","Dhaka","Dhaka",23.7872,90.4801,noorlabib@iut-dhaka.edu,01886709707
"Sher-e-Bangla Nagar Police Station","Dhaka","Dhaka",23.7939,90.3574,noorlabib@iut-dhaka.edu,01886709707
"Hazaribagh Police Station","Dhaka","Dhaka",23.7677,90.4463,noorlabib@iut-dhaka.edu,01886709707
"New Market Police Station","Dhaka","Dhaka",23.7358,90.3952,noorlabib@iut-dhaka.edu,01886709707
"Chawkbazar Police Station","Dhaka","Dhaka",23.7641,90.3940,noorlabib@iut-dhaka.edu,01886709707
"Bangshal Police Station","Dhaka","Dhaka",23.8628,90.4503,noorlabib@iut-dhaka.edu,01886709707
"Gendaria Police Station","Dhaka","Dhaka",23.8407,90.4860,noorlabib@iut-dhaka.edu,01886709707
"Wari Police Station","Dhaka","Dhaka",23.8268,90.4199,noorlabib@iut-dhaka.edu,01886709707
"Kamrangirchar Police Station","Dhaka","Dhaka",23.8516,90.4223,noorlabib@iut-dhaka.edu,01886709707
"Turag Police Station","Dhaka","Dhaka",23.7754,90.4498,noorlabib@iut-dhaka.edu,01886709707
"Kafrul Police Station","Dhaka","Dhaka",23.7884,90.3917,noorlabib@iut-dhaka.edu,01886709707
"Shah Ali Police Station","Dhaka","Dhaka",23.8088,90.3618,noorlabib@iut-dhaka.edu,01886709707
"Dakshinkhan Police Station","Dhaka","Dhaka",23.8239,90.4744,noorlabib@iut-dhaka.edu,01886709707
"Uttarkhan Police Station","Dhaka","Dhaka",23.8695,90.3629,noorlabib@iut-dhaka.edu,01886709707
"Bhatara Police Station","Dhaka","Dhaka",23.7775,90.4033,noorlabib@iut-dhaka.edu,01886709707
"Khilkhet Police Station","Dhaka","Dhaka",23.8003,90.4615,noorlabib@iut-dhaka.edu,01886709707
"Vatara Police Station","Dhaka","Dhaka",23.8770,90.3910,noorlabib@iut-dhaka.edu,01886709707
"Banani Police Station","Dhaka","Dhaka",23.8052,90.4324,noorlabib@iut-dhaka.edu,01886709707
"Rampura Police Station","Dhaka","Dhaka",23.8711,90.3790,noorlabib@iut-dhaka.edu,01886709707
"Hatirjheel Police Station","Dhaka","Dhaka",23.8625,90.3529,noorlabib@iut-dhaka.edu,01886709707
"Mugda Police Station","Dhaka","Dhaka",23.7445,90.3640,noorlabib@iut-dhaka.edu,01886709707
"Rupnagar Police Station","Dhaka","Dhaka",23.8358,90.4100,noorlabib@iut-dhaka.edu,01886709707
"Bhashantek Police Station","Dhaka","Dhaka",23.8313,90.4433,noorlabib@iut-dhaka.edu,01886709707
